sepal_length,sepal_width,petal_length,petal_width,species,flower_color
5.1,3.5,1.4,0.2,setosa,White
4.9,3,1.4,0.2,setosa,White
4.7,3.2,1.3,0.2,setosa,White
4.6,3.1,1.5,0.2,setosa,White
5,3.6,1.4,0.2,setosa,White
5.4,3.9,1.7,0.4,setosa,Pink
4.6,3.4,1.4,0.3,setosa,White
5,3.4,1.5,0.2,setosa,White
4.4,2.9,1.4,0.2,setosa,White
4.9,3.1,1.5,0.1,setosa,White
5.4,3.7,1.5,0.2,setosa,White
4.8,3.4,1.6,0.2,setosa,Pink
4.8,3,1.4,0.1,setosa,White
4.3,3,1.1,0.1,setosa,White
5.8,4,1.2,0.2,setosa,White
5.7,4.4,1.5,0.4,setosa,White
5.4,3.9,1.3,0.4,setosa,White
5.1,3.5,1.4,0.3,setosa,White
5.7,3.8,1.7,0.3,setosa,Pink
5.1,3.8,1.5,0.3,setosa,White
5.4,3.4,1.7,0.2,setosa,Pink
5.1,3.7,1.5,0.4,setosa,White
4.6,3.6,1,0.2,setosa,White
5.1,3.3,1.7,0.5,setosa,Pink
4.8,3.4,1.9,0.2,setosa,Pink
5,3,1.6,0.2,setosa,Pink
5,3.4,1.6,0.4,setosa,Pink
5.2,3.5,1.5,0.2,setosa,White
5.2,3.4,1.4,0.2,setosa,White
4.7,3.2,1.6,0.2,setosa,Pink
4.8,3.1,1.6,0.2,setosa,Pink
5.4,3.4,1.5,0.4,setosa,White
5.2,4.1,1.5,0.1,setosa,White
5.5,4.2,1.4,0.2,setosa,White
4.9,3.1,1.5,0.1,setosa,White
5,3.2,1.2,0.2,setosa,White
5.5,3.5,1.3,0.2,setosa,White
4.9,3.1,1.5,0.1,setosa,White
4.4,3,1.3,0.2,setosa,White
5.1,3.4,1.5,0.2,setosa,White
5,3.5,1.3,0.3,setosa,White
4.5,2.3,1.3,0.3,setosa,White
4.4,3.2,1.3,0.2,setosa,White
5,3.5,1.6,0.6,setosa,Pink
5.1,3.8,1.9,0.4,setosa,Pink
4.8,3,1.4,0.3,setosa,White
5.1,3.8,1.6,0.2,setosa,Pink
4.6,3.2,1.4,0.2,setosa,White
5.3,3.7,1.5,0.2,setosa,White
